,Company,Product,Style,Rating
0,New Touch,T's Restaurant Tantanmen ,Cup,3.75
1,Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,1.0
2,Nissin,Cup Noodles Chicken Vegetable,Cup,2.25
3,Wei Lih,GGE Ramen Snack Tomato Flavor,Pack,2.75
4,Ching's Secret,Singapore Curry,Pack,3.75
5,Samyang Foods,Kimchi song Song Ramen,Pack,4.75
6,Acecook,Spice Deli Tantan Men With Cilantro,Cup,4.0
7,Ikeda Shoku,Nabeyaki Kitsune Udon,Tray,3.75
8,Ripe'n'Dry,Hokkaido Soy Sauce Ramen,Pack,0.25
9,KOKA,The Original Spicy Stir-Fried Noodles,Pack,2.5
10,Tao Kae Noi,Creamy tom Yum Kung Flavour,Pack,5.0
11,Yamachan,Yokohama Tonkotsu Shoyu,Pack,5.0
12,Nongshim,Mr. Bibim Stir-Fried Kimchi Flavor,Pack,4.25
13,Nissin,Deka Buto Kimchi Pork Flavor,Bowl,4.5
14,Nissin,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Pack,5.0
15,KOKA,Mushroom Flavour Instant Noodles,Cup,3.5
16,TRDP,Mario Masala Noodles,Pack,3.75
17,Yamachan,Tokyo Shoyu Ramen,Pack,5.0
18,Binh Tay,Mi Hai Cua,Pack,4.0
19,Paldo,Premium Gomtang,Pack,4.0
20,Nissin,Cup Noodles Laksa Flavour,Cup,4.25
21,Jackpot Teriyaki,Beef Ramen,Pack,5.0
22,KOKA,Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor,Cup,5.0
23,Yamachan,Sapporo Miso Ramen,Pack,4.75
24,Ching's Secret,Hot Garlic Instant Noodles,Pack,4.25
25,Samyang Foods,Song Song Kimchi Big Bowl,Bowl,4.25
26,Yum-Mie,Instant Noodles Beef In Light Soup Flavour,Pack,3.5
27,Nissin,Hakata Ramen Noodle White Tonkotsu,Bowl,4.75
28,MyKuali,Penang White Curry Rice Vermicelli Soup,Bowl,5.0
29,KOKA,Signature Tom Yum Flavor Instant Noodles,Pack,4.0
30,Samyang Foods,Paegaejang Ramen,Pack,5.0
31,Nissin,Gekikara Ramen Extra Hot Ramen Goreng,Pack,4.5
32,Sichuan Guangyou,Chongqing Spicy Hot Noodles,Bowl,4.0
33,New Touch,Sugo-Men Kyoto Backfat Shoyu Ramen,Bowl,3.75
34,KOKA,Instant Noodles Laksa Singapura Flavour,Pack,5.0
35,Lipton,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,1.5
36,KOKA,Curry Flavour Instant Noodles,Cup,5.0
37,Acecook,Super Cup Yochan Ika Yakisoba,Tray,1.5
38,Nissin,Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup,Cup,5.0
39,Wei Lih,GGE Noodle Snack Wheat Crackers Mexican Spicy,Pack,3.25
40,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle,Cup,3.75
41,Nissin,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,Cup,5.0
42,Nissin,Cup NoodlesTom Yam Seafood (More Shrimptacular),Cup,5.0
43,Lele,Instant Noodles Beef,Pack,3.5
44,Nissin,Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup,Cup,5.0
45,Fujiwara,Hokkaido Hakodate Shoyu Ramen,Pack,4.0
46,Nongshim,Shin Ramyun Black,Pack,5.0
47,Nissin,Nippon Onomichi Ramen,Bowl,4.75
48,Uni-President,Pickled Cabbage Beef,Pack,4.25
49,Ottogi,Ppushu Ppushu Noodle Snack Honey Butter ,Pack,2.0
50,Maruchan,Gotsumori Chanpon Ramen,Bowl,4.5
51,Prima,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,5.0
52,Uni-President,Mushroom Flavor,Pack,0.0
53,Samyang Foods,Jjamppong Big Bowl,Bowl,4.5
54,Sokensha,Curry Udon,Pack,3.5
55,Nissin,Straits Reborn Laksa,Pack,5.0
56,Nongshim,Budae Jjigae Noodle Soup,Pack,4.5
57,Takamori,Hearty Japanese Style Curry Udon,Pack,5.0
58,Nissin,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,4.5
59,Nissin,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,5.0
60,Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,1.0
61,Samurai Ramen,Umami Ramen,Pack,4.0
62,Ikeda Shoku,Nabeyaki Tempura Udoin,Bowl,4.5
63,Fujiwara,Hokkaido Hakodate Miso Ramen,Pack,3.5
64,Uni-President,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,5.0
65,Ogasawara,Kirin Giraffe Shoyu Ramen,Pack,4.5
66,Pringles,Nissin Top Ramen Chicken Flavor Potato Crisps ,Can,3.5
67,Mom's Dry Noodle,Dan Dan Noodle,Pack,5.0
68,Samyang Foods,Samyang Ramen Classic Edition,Bowl,5.0
69,MyKuali,Penang Red Tom Yum Goong Noodle,Pack,5.0
70,Maggi,Hot Heads Green Chilli Noodles,Pack,3.5
71,Samyang Foods,Mala Buldak Bokkeummyun,Pack,3.75
72,Indomie,RMy Noodlez Rumput Laut,Pack,4.0
73,KOKA,Delight Chicken Flavor Instant Non-Fried Noodles,Pack,3.75
74,Acecook,Super Cup Torigawa Shoyu,Bowl,3.5
75,Nongshim,Shin Ramyun,Pack,3.0
76,Sichuan Guangyou,Sweet Potato Instant Noodle Sout-Hot Flavor,Bowl,0.0
77,Indomie,Onion Chicken Flavor,Pack,1.5
78,Happy Cook,Toona Paste Noodle,Pack,4.0
79,The Ramen Rater Select,Supreme Creamy Tom Yum Noodle,Box,5.0
80,KOKA,Creamy Soup With Crushed Noodles Chicken Flavor,Cup,5.0
81,Nissin,Demae Ramen Spicy Beef,Pack,3.75
82,Nissin,Cup Noodles Spicy,Cup,3.75
83,Nissin,Soba Thai,Pack,4.5
84,Nissin,Cup Noodles Huhn (Chicken),Cup,3.75
85,Nissin,Demae Ramen Korean Kimchi,Pack,3.5
86,Nissin,Cup Noodles Curry,Cup,3.75
87,Nissin,Smack Chili,Pack,3.75
88,Nissin,Soba Yakitori Chicken,Cup,5.0
89,Nissin,Demae Ramen Garlic Chicken,Pack,3.5
90,Nissin,Cup Noodles Ente (Duck),Cup,3.0
91,Nissin,Demae Ramen Thai Tom Yum,Pack,3.75
92,Nissin,Soba Sukiyaki Beef,Cup,4.5
93,Nissin,Demae Ramen Spicy,Pack,3.5
94,Nissin,Cup Noodles Shrimps,Cup,3.0
95,Nissin,Demae Ramen Tokyo Soy Sauce,Pack,4.0
96,Paldo,Bul Jjamppong,Bowl,5.0
97,TTL,Chicken With Chinese Shaoxing Wine,Pack,4.75
98,Samyang Foods,Buldak Bokkeummyun,Cup,3.75
99,Acecook,Pork Wantan Men,Bowl,4.25
100,E-Zee,Instant Noodles Chicken Flavour,Pack,4.0
101,Kiki Noodle,Scallion Oil & Soy Sauce Noodle,Pack,5.0
102,Kiki Noodle,Sichuan Spices Flavor Noodle,Pack,5.0
103,Samyang Foods,Kimchi Stew Ramyun,Bowl,4.0
104,Maruchan,Seimen Red Spicy Dandan Men,Bowl,4.75
105,Ottogi,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,Pack,4.25
106,Tokyo Noodle,Mini Instant Noodle Mild Curry Flavor,Pack,2.0
107,GGE,Noodle Snack Wheat Cracks Seaweed Flavor,Pack,3.5
108,Nissin,Cup Noodles Mini Seafood Flavour,Cup,5.0
109,Myojo,Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor,Pack,3.75
110,KOKA,Signature Curry Flavor Instant Noodles,Cup,3.5
111,Acecook,Dossari Yasai Chanpon,Cup,4.25
112,Paldo,Volcano Curry Kkokkomyun,Pack,3.5
113,Sau Tao,Instant Noodle King Pepper Duck Flavour Soup,Pack,4.0
114,Nissin,Cup Noodles XO Sauce Seafood,Cup,3.75
115,Wang,Extreme Spicy Hot Chicken Flavor Udon,Bowl,2.0
116,Nissin,Gekikara Ramen Rasa Pedas,Pack,3.25
117,TTL,Sesame Oil Chicken Noodle With Rice Wine,Bowl,5.0
118,Fujiwara,Hokkaido Hakodate Shio Ramen,Pack,4.5
119,Daifuku,Katsuo Bowl Udon,Bowl,5.0
120,Nissin,Cup Noodles MUG Shoyu & Seafood,Pack,3.5
121,KOKA,Instant Noodles Chicken Satay Flavour,Pack,3.5
122,KOKA,Signature Spicy Singapore Fried Noodles Instant Noodles,Pack,4.25
123,KOKA,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Cup,5.0
124,KOKA,Silk Beef Pho Flavor Instant Rice Fettuccine,Bowl,3.25
125,KOKA,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,4.5
126,KOKA,Signature Laksa Singapura Instant Noodles,Bowl,5.0
127,KOKA,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Pack,5.0
128,KOKA,Purple Wheat Noodles Chili & Lime Flavor,Pack,4.0
129,KOKA,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,5.0
130,KOKA,Seafood Flavor Instant Noodles,Cup,3.5
131,KOKA,Signature Stir-Fry Original Flavor Instant Noodles,Pack,3.0
132,KOKA,Creamy Soup Witrh Crushed Noodles Curry Flavor,Cup,5.0
133,KOKA,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Pack,4.25
134,KOKA,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,5.0
135,KOKA,Signature Chicken Flavor Instant Noodles,Cup,3.75
136,Nissin,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,Cup,3.5
137,MyKuali,Penang Hokkien Prawn Flavor Noodle,Box,5.0
138,Master Kong,Roasted Pork Noodle,Pack,4.5
139,Uni-President,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,5.0
140,World O' Noodle,Mi Goreng Original Flavour Fried Noodles,Pack,5.0
141,Nissin,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,4.5
142,Kang Shi Fu,Artificial Dongpo's Braised Pork Flavour,Pack,4.75
143,Mum Ngon,Lau Tom Chua Cay,Pack,3.5
144,Happy Cook,Old Beijing Fried Bean Sauce Noodle,Pack,4.25
145,Nissin,Cup Noodles Indonesia Mie Goreng,Cup,3.75
146,Fashion Food,Yummy Spicy Rice Soup With Seafood,Bowl,3.5
147,Dream Kitchen,Udon Japanese Style Fresh Noodle,Bowl,3.75
148,MyKuali,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,5.0
149,New Touch,T's Restaurant Sura Tanmen,Cup,4.0
150,TTL,Sesame Oil Chicken With Rice Wine Noodle,Bowl,5.0
